ticker,accuracy,f1,num_trades,win_rate,avg_return,total_return,data_points,saved
COIN,0.667574931880109,0.031746031746031744,3,66.66666666666666,0.6666666666666666,2.0,1831,True
PINS,0.6648501362397821,0.2807017543859649,37,64.86486486486487,0.6216216216216216,23.0,1831,True
RIVN,0.41689373297002724,0.08547008547008547,12,91.66666666666666,1.1997072085819709,14.39648650298365,1831,False
CEG,0.592896174863388,0.0,73,39.726027397260275,0.03696748003997969,2.698626042918513,1830,False
ROKU,0.6016483516483516,0.07643312101910828,21,38.095238095238095,-0.09471217247296693,-1.9889556219323055,1820,False
MARA,0.553133514986376,0.1717171717171717,29,62.06896551724138,0.5376737696204131,15.592539318991982,1831,True
HOOD,0.7956403269754768,0.17582417582417584,8,100.0,1.5,12.0,1831,True
AMAT,0.819672131147541,0.3125,18,83.33333333333334,1.1237641442328679,20.22775459619162,1830,True
ARM,0.8005464480874317,0.21505376344086022,20,60.0,0.5453292192271831,10.906584384543663,1827,True
SHOP,0.2615803814713896,0.191044776119403,278,34.172661870503596,-0.11590695719494372,-32.22213410019437,1831,False
MU,0.35967302452316074,0.21926910299003322,210,32.38095238095238,0.05754868001906933,12.085222804004566,1831,False
PLTR,0.8746594005449592,0.0,0,0.0,0.0,0.0,1831,False
DKNG,0.6866485013623979,0.46511627906976744,163,44.785276073619634,0.1910016735397478,31.133272786978903,1831,True
FSLR,0.899135446685879,0.5569620253164557,34,82.35294117647058,0.9774076304424194,33.231859435042274,1734,True
ABNB,0.8497267759562842,0.0,0,0.0,0.0,0.0,1830,False
CRWD,0.9182561307901907,0.7,47,89.36170212765957,1.0985461080729937,51.631667079430706,1831,True
CSCO,0.7901907356948229,0.0,0,0.0,0.0,0.0,1831,False
MRNA,0.6885245901639344,0.2692307692307692,23,91.30434782608695,1.2826086956521738,29.5,1829,True
SEDG,0.8045325779036827,0.1038961038961039,33,48.484848484848484,0.02668728146446383,0.8806802883273059,1764,True
MPC,0.9104477611940298,0.0,1,0.0,0.0,0.0,1673,False
