ticker,success,test_accuracy,test_f1,ml_return,bh_return,excess_return,win_rate,num_trades,risk_level,saved
NVDA,True,0.5166666666666667,0.5671641791044776,9.001188940350712,2.804727240168914,6.196461700181798,54.285714285714285,35,LOW,True
AAPL,True,0.5135135135135135,0.3076923076923077,9.616213076087643,12.961519857144577,-3.3453067810569337,66.66666666666666,6,LOW,True
GOOGL,True,0.4782608695652174,0.2,7.685573094998577,30.70216785294322,-23.01659475794464,100.0,3,LOW,True
MSFT,True,0.5294117647058824,0.2,-5.760531392651647,-16.66127056500908,10.900739172357433,33.33333333333333,6,LOW,True
AMZN,True,0.52,0.5714285714285714,-5.978455641309943,-10.38904149092048,4.410585849610537,50.0,32,LOW,True
META,True,0.6458333333333334,0.6792452830188679,7.441290922564003,-8.228325687480286,15.66961661004429,56.25,32,LOW,True
TSLA,True,0.45588235294117646,0.4788732394366197,-1.1909724953119816,-1.7729382996165444,0.5819658043045628,45.94594594594595,37,LOW,True
AVGO,True,0.6166666666666667,0.5660377358490566,26.897540966147027,-3.8305927034540166,30.728133669601043,60.0,25,LOW,True
WMT,True,0.38235294117647056,0.16,3.7356816550117466,21.53385698974013,-17.798175334728384,50.0,6,LOW,False
LLY,True,0.425531914893617,0.0,0.0,25.143205834690562,-25.143205834690562,0.0,0,LOW,False
JPM,True,0.5384615384615384,0.35714285714285715,10.145865755997807,5.093418550395046,5.052447205602761,71.42857142857143,7,LOW,True
XOM,True,0.375,0.24242424242424243,4.534207786677236,36.797680811426936,-32.2634730247497,80.0,5,LOW,False
JNJ,True,0.32142857142857145,0.3448275862068966,4.778102698511821,34.87800611953909,-30.099903421027264,57.14285714285714,7,LOW,False
ORCL,True,0.3333333333333333,0.45454545454545453,-39.26341029865985,-40.2560286219066,0.9926183232467523,31.914893617021278,47,HIGH,False
COST,True,0.28125,0.0,-4.446753537707149,7.063108355416081,-11.50986189312323,0.0,3,LOW,False
ABBV,True,0.5405405405405406,0.48484848484848486,1.9162332788856151,0.34479254230492806,1.571440736580687,53.84615384615385,13,LOW,True
HD,True,0.5526315789473685,0.6046511627906976,2.6064258800096107,-2.935196538491236,5.541622418500847,48.0,25,LOW,True
BAC,True,0.5555555555555556,0.42857142857142855,11.101513154447407,10.785599716468287,0.31591343797911975,85.71428571428571,7,LOW,True
PG,True,0.5517241379310345,0.38095238095238093,5.498903476550887,7.801781407469144,-2.3028779309182568,100.0,5,LOW,True
CVX,True,0.5454545454545454,0.5945945945945946,15.136598832813108,23.90881912847165,-8.77222029565854,66.66666666666666,18,LOW,True
