ticker,market_cap,avg_volume_30d,avg_price,volatility,sector
NVDA,4450145009664,166247766.66666666,185.63282110752203,2.2432861347158903,Technology
AAPL,3759435415552,51681997.43589743,264.3850465432192,1.5504708488736187,Technology
GOOGL,3698295046144,34243417.94871795,323.54564099434094,1.2542062569141377,Communication Services
MSFT,2982761988096,34522828.20512821,455.2433346479367,2.2682081812990074,Technology
AMZN,2133994766336,49547782.05128205,231.34410251715244,1.888765042344152,Consumer Cyclical
META,1618333794304,16528800.0,659.2258958082932,2.47406245988619,Communication Services
TSLA,1566415126528,64322707.692307696,440.17025678585736,2.230211959804519,Consumer Cyclical
AVGO,1541719982080,29386335.897435896,337.20179631159857,2.449007010000716,Technology
WMT,1067485036544,34694343.58974359,118.98820515168019,1.5350897540596882,Consumer Defensive
LLY,932315070464,3175361.5384615385,1056.3747261242988,2.837847684463641,Healthcare
JPM,823620403200,11196707.692307692,314.9884729629908,1.675344050863441,Financial Services
XOM,626038210560,19993312.82051282,131.2601993267353,1.70017134312681,Energy
JNJ,586689937408,8900456.41025641,219.58538544483673,0.9415797669723657,Healthcare
ORCL,460256935936,26943082.051282052,179.22965964292868,3.436971712096278,Technology
COST,452162027520,2686494.871794872,933.5981820913462,1.3236412402963758,Consumer Defensive
ABBV,409149538304,7038976.923076923,222.4800771077474,1.7318231322123283,Healthcare
HD,389294751744,4301815.384615385,369.44871794871796,1.3647840908636324,Consumer Cyclical
BAC,383746146304,38833625.64102564,54.4007690625313,1.5106341643816805,Financial Services
PG,374040952832,11269817.948717948,147.72430067795975,1.0671157022872342,Consumer Defensive
CVX,367361228800,11428474.358974358,165.6638457469451,1.591816174992385,Energy
